회사명,종목코드,업종,업종2,업종PER,PER,PBR
세원셀론텍,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업",석유와가스,-13.96,N/A,N/A
CSA 코스믹,083660,기타 화학제품 제조업,화장품,89.76,N/A,N/A
티엘아이,062860,반도체 제조업,디스플레이장비및부품,86.49,N/A,N/A
한국전자금융,063570,금융 지원 서비스업,IT서비스,24.96,93.68,1.02
쇼박스,086980,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,90.00,3.59
루트로닉,085370,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
인포뱅크,039290,기타 정보 서비스업,IT서비스,24.96,117.79,1.93
노루페인트,090350,기타 화학제품 제조업,건축자재,36.34,10.77,0.59
아모레퍼시픽,090430,기타 화학제품 제조업,화장품,89.76,368.97,3.48
아이오케이,078860,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
동우팜투테이블,088910,"도축, 육류 가공 및 저장 처리업",식품,29.07,N/A,N/A
롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,"호텔,레스토랑,레저",-25.26,N/A,N/A
제이브이엠,054950,일반 목적용 기계 제조업,건강관리장비와용품,208.42,31.56,1.66
평화산업,090080,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
우진플라임,049800,특수 목적용 기계 제조업,기계,-29.49,745.00,1.06
팅크웨어,084730,통신 및 방송 장비 제조업,전자제품,41.38,32.91,1.11
신세계I&C,035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,3.62,0.78
진바이오텍,086060,동물용 사료 및 조제식품 제조업,제약,99.58,51.90,0.99
